family,alpha,final_f1_star,count_min,count_sketch,double_mg,double_ss,integrated_sspm
zipf,3.0,500000,0.0008672570905180001,4.4890404901775e-06,1.3216789842713662e-05,0.001382774935253,2.8739498452403515e-05
zipf,4.0,50000,0.0008279337401910001,2.6823597791339733e-06,5.5565242662016865e-05,0.000904277826213,0.00012565533275200001
zipf,4.0,100000,0.0008469372303890001,3.708072893740646e-06,3.406461836429263e-05,0.0009358781582880001,7.693458931243948e-05
zipf,4.0,200000,0.000849912481825,4.110837713902247e-06,2.1605245498266414e-05,0.0009483603623750001,5.3563359803154015e-05
zipf,4.0,500000,0.000861725094816,4.428318584070796e-06,1.2242730720606821e-05,0.0009577447534760001,3.0271934260429834e-05
zipf,6.0,50000,0.0008279337882960001,2.599099753158124e-06,5.0013068099317564e-05,0.000529844634819,0.00013647742122800002
zipf,6.0,100000,0.00084519918735,3.670170479639608e-06,3.0831198657362435e-05,0.000558987721932,8.753025351117392e-05
zipf,6.0,200000,0.0008564296052990001,4.211991315481824e-06,1.933891888882703e-05,0.0005606518955630001,5.788203529477259e-05
zipf,6.0,500000,0.0008604248089430001,4.4787469209878115e-06,1.0955283269121451e-05,0.000569029684835,3.5292174572096254e-05
zipf,8.0,50000,0.000833965222348,2.65963511972634e-06,4.618586088939566e-05,0.00037320410490300005,0.000135430444697
zipf,8.0,100000,0.0008427264692880001,3.545735749005744e-06,2.8016791869200173e-05,0.000371909854175,9.386301369863015e-05
zipf,8.0,200000,0.0008515430007340001,4.07758766728782e-06,1.8028121294257154e-05,0.000382011688971,6.570331469874077e-05
zipf,8.0,500000,0.0008653837015610001,4.472673559822747e-06,1.011477419152079e-05,0.00039387064332600005,3.722693987868883e-05
